Task,Category,Epic,Notes,Priority,Status,Type
"P&M v2 — Catálogo de métricas físicas, unidades, protocolos de test + baselines",Team,Phase 2 — Analytics,"OPEN ITEM / bloqueante de Physical. No existe hoy. Definir métricas (ej. sprint 20m), unidades, protocolos de test y de dónde salen los baselines. El resto de v2 (técnica/táctica/carácter) NO depende de esto. Ref §13 open items.",Low,Backlog,Feature
P&M v2 — validate-quarterly-plan v2 + captura de logs (semilla eval set),Dev,Phase 2 — Analytics,"Validador ADVISORY (como warnings amarillos), NO auto-regenera. Rubrica de anclas: monotonia, mutuamente excluyentes, observable, semantica de escala (0=por buen camino vs plan, +2=superado, -2=estancado, NO 'estado actual'), gramatica §4. CRITERIO NUEVO: horizonte trimestral -> cada objetivo medible en 3 meses, NO resultado de largo plazo (ranking/Top 100 ITF quedan fuera salvo alcanzables en el periodo, ej. top120->100). El coach escribe observaciones, no planes; estructurar el horizonte es trabajo del sistema. TABLA objective_generation_log con linaje (root_id/parent_id, etc). Ref §13.",Medium,Backlog,Feature
P&M v2 — Medición mensual -2..+2 por sub-dimensión (focos + mantenimiento),Dev,Phase 2 — Analytics,"Captura del valor direccional -2..+2 en report_on_court/physical/character por sub-dimensión. Mantenimiento también se mide: -1/-2 en mantenimiento = candidata a foco del siguiente trimestre. Aplicar ventana del calendario de evals. Ref §6, §13.",Medium,Backlog,Feature
P&M v2 — Calendario de evaluaciones mensuales + recordatorio de cierre,Team,Phase 2 — Analytics,Definir ventanas operativas: evaluación mensual permitida hasta ~1 semana después del cierre de mes; cierre de periodo al final de la semana posterior al trimestre. Input para el recordatorio y la lógica de medición. Ref §13.,Medium,Backlog,Feature
P&M v2 — close-quarterly-plan + retrospectives + handoff periodo→periodo,Dev,Phase 2 — Analytics,"CONSTRUIDO en 4 rebanadas (14-15 Jul 2026, commits ed706c6/7c92db6/869d7a6/4a36e3a). Cierre manual por foco + wiring de prior_bundle + scores/notas del trimestre en el cierre (como palabras via OC_LABEL) + pre-seleccion de focos 'continua' + salto automatico a crear el plan siguiente. Retrospectiva del coach quitada de la UI por ahora. Dummy data de Test Athlete (2 trimestres) corregida. Lint+110 tests OK, todo comiteado. PRIMERA CORRIDA EN VIVO (15 Jul 2026, docs/http://scope-close-quarterly-plan.md §16): confirmados C1-C11 + A1-A6 de docs/http://qa-guia-cierre-plan-trimestral.md. Salieron 2 bugs/gaps reales: (1) mantenimiento nunca tiene outcome -- confirmado, no bug, ver §16.1/16.6; (2) carryover 'continua' no se propaga al draft siguiente si no se re-menciona en el dump nuevo -- bug real, ver §16.2. Decision grande de Marco: el modelo de outcome se separa en estado final (logrado/parcial/fallido) x carryover (continua/depriorizado) independientes -- hoy son excluyentes y no deberian serlo (§16.3). Este cambio + el fix del bug de carryover quedan como task nuevo separado ('P&M v2 -- separar outcome en estado + carryover'), igual que fechas de ciclo de vida del plan, botones 'mejorar' por objetivo, y el ajuste de prompt de anclas de tecnica -- todos Backlog, todos referenciados en §16. Fixes triviales de copy/UI (calco->copia directa, warnings en caja amarilla) ya aplicados directo, sin task aparte. Este task master se queda en In Progress -- no Done -- hasta que el nuevo modelo de outcome se construya, porque el bug de carryover es parte central del loop que este task prometia resolver.",Medium,In Progress,Feature
P&M v2 — Rúbrica de calidad de anclas + set de estándares de cierre,Team,Phase 2 — Analytics,"Documentar para coaches y para el validador: la rúbrica de anclas (monotonía/excluyentes/observable/anclado/gramática) y el set de estándares de cierre — 'de forma consistente', 'bajo presión', 'sin recordatorio'. Cuándo aplica cada estándar. Ref §4, §13.

Actualización (live test 5, Caso Sofía, 1 Jul 2026): confirmado en el Caso 3 — las anclas generadas se sienten genéricas en su redacción actual. Ref §18.

Actualización (live test 6, Caso Diego, 1 Jul 2026): se repite en Caso 4. Marco: 'hay que definir muy bien cómo nombrarlas'. Ref §19.",Medium,Backlog,Feature
P&M v2 — UI nuevo flujo PlanesCoach: compuerta de selección de focos + revisión,Dev,Phase 2 — Analytics,"CONSTRUIDA (PlanesCoach.jsx reescrito): flujo 4 pasos - atleta/periodo, dump, seleccion de focos <=5 (carryover vs nuevas, pre-selecciona candidatas), generacion + revision por feedback con anclas -2..+2 visibles + rubrica corta. Regla dura: regenerar exige comentario. Captura objective_generation_log con linaje al guardar. Bridge: objective_text=objetivo para no romper NuevoReporte/AthleteVoice. Lint+tests+build OK. Ref §8, §13. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — el test en vivo pendiente se completó en los live tests posteriores (Casos Diego/Kevin/Sofía/Emilio/Mariana), documentados en los tasks de rúbrica ya Done.",Medium,Done,Feature
P&M v2 — Migración schema v2 (objetivos + planes) y deprecar objective_text,Dev,Phase 2 — Analytics,"quarterly_plan_objectives: tipo, diagnostico, objetivo, anchors(jsonb), carryover_of, outcome, final_assessment, baseline/target/unit. quarterly_plans: status 'completed', coach_retrospective, athlete_retrospective, closed_at. Eliminar objective_text. Archivar/eliminar los 2 planes dummy. Ref §9 y §13.",High,Done,Infra
P&M v2 — generate-quarterly-plan v3: dump de observaciones → dimensiones + anclas,Dev,Phase 2 — Analytics,"DESPLEGADA v4 (mode identify + generate + regenerate, legacy preservado). Fuente versionada en supabase/functions/generate-quarterly-plan/index.ts. Pendiente: test en vivo (necesita JWT/UI) y wiring de objective_generation_log al llamar. PRIMERA REBANADA. EF v3 con dos modos: (a) identificar sub-dimensiones + read corto + candidata_a_foco; (b) generar diagnostico + objetivo (gramatica §4) + 5 anclas con semantica corregida (0=por buen camino, -2=estancado, NO estado actual). Contrato con bundle previo (cold-start=null). Ref §10 y §13. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — superado por el trabajo de rúbrica P&M (commits 2307af2, 7a7212f, 15bc341, b441eaa) ya Done.",High,Done,Feature
P&M v2 — Estado draft persistente en el flujo de planes,Dev,Phase 2 — Analytics,"CONSTRUIDO. Columna draft_state (jsonb) en quarterly_plans (migración aplicada). PlanesCoach: crea draft al pasar paso 1→2, persiste dump/focos/objetivos en checkpoints (identify/generate/regenerate), guardar plan actualiza el draft (ya no inserta). Lista permite reanudar (click) o descartar borrador. Lint+65 tests OK. Ref §14. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — comiteado junto con el guard de un plan por atleta/periodo en 8e7560c; el bloqueo de .git/index.lock quedó resuelto sin reportarse por texto, confirmado ahora vía git log.",High,Done,Feature
P&M v2 — Voz: revisión/regeneración por voz + summary de notas en el dump,Dev,Phase 2 — Analytics,EPIC VOZ (3/3). Comentarios de regeneracion dictados por voz -> texto. El dump puede incorporar el summary de las notas de voz (task 2/3) para 'endulzar' el contenido y generar mejores focos. Ref §14.,Medium,Backlog,Feature
P&M v2 — Edición de plan a mitad de trimestre,Dev,Phase 2 — Analytics,BACKLOG. Permitir ajustar el plan dentro del periodo si hace falta. No vale la pena complicarlo ahora. Ref §14.,Low,Backlog,Feature
P&M v2 — Voz: dump de observaciones por voz (transcripción),Dev,Phase 2 — Analytics,EPIC VOZ (1/3). El input del plan (observaciones antes de identify) se puede dictar por voz y se transcribe a texto. Ref §14.,Medium,Backlog,Feature
P&M v2 — Voz: log de anotaciones por atleta (grabaciones + transcripts),Dev,Phase 2 — Analytics,"EPIC VOZ (2/3). Coaches graban notas de entrenamiento/partido en cualquier momento (ej. mitad del 2o set), ligadas al atleta del lado del coach. Transcripts procesados y acumulados como record de observaciones por atleta; insumo para seguimiento y generacion de planes. Ref §14.",Medium,Backlog,Feature
P&M v2 — Guard: un plan por atleta por periodo,Dev,Phase 2 — Analytics,"CONSTRUIDO. Unique index (athlete_id, period_start) WHERE status <> 'archived' en quarterly_plans (migración aplicada) + check en UI al continuar paso 1: si existe plan activo/completado para ese atleta+periodo, bloquea con mensaje y link al plan; si existe un draft, reanuda automático. Nota: la excepción de 'pasar la fecha del 3er reporte' mencionada en el scope NO se implementó (ambigua/baja prioridad) — hoy la única salida es archivar/borrar el plan existente. Lint+65 tests OK. Ref §14. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — el commit 8e7560c ya incluía este guard; el bloqueo de .git/index.lock quedó resuelto sin reportarse por texto, confirmado ahora vía git log.",High,Done,Feature
P&M v2 — Guardrail no-bloqueante de calidad del dump,Dev,Phase 2 — Analytics,"CONSTRUIDO. generate-quarterly-plan v pm-v2.3: modo identify ahora también devuelve dump_quality {level: 'detallado'|'vago', motivo}, evaluado por el mismo LLM sin llamada extra. Desplegada (v7). UI: banner ámbar no-bloqueante en paso 3 cuando level='vago', con motivo y atajo para volver a editar el dump; no impide continuar. Lint+65 tests OK. Ref §15. Cerrado en apertura de sesión (14 Jul 2026, confirmado por Marco) — el commit pendiente por .git/index.lock se resolvió sin reportarse por texto, confirmado vía git log (commit 8e7560c).",High,Done,Feature
Definir backlog de skills internos + crear docs/http://skills-backlog.md,Dev,,"Documento vivo en docs/ que rastrea los skills candidatos para reducir context rot (feature-slice, schema+RLS, e2e QA, design polish, scraper rankings). Incluye decisiones de diseno de cada skill.",Medium,Done,Chore
Limpiar directorio anidado top-tenis-performance-academy/ (leftover de movimiento de archivos),Dev,,"Diagnosticado y verificado. El sandbox de Cowork no puede borrar archivos en el mount (unlink = Operation not permitted), así que Marco debe correr la limpieza local: rm .git/index.lock && git rm -r top-tenis-performance-academy && git commit -m 'chore: eliminar dir anidado top-tenis-performance-academy/ sobrante de movimiento de archivos'. Confirmado: nada importa de ese path, lint+tests pasan, el src/ vivo es el de la raíz. Cerrado (13 Jul 2026) — Marco confirmó que ya borró el directorio anidado localmente.",Low,Done,Chore
Conectar el CMS (Content Delivery System) con el sitio público,Dev,,"El panel de contenido escribe en content_blocks/media_assets/athlete_media pero ninguna página pública lee esas tablas: todo el contenido del sitio está hardcodeado. Además los slots del CMS no coinciden con la estructura real de las páginas (p.ej. video en camino-usa, hero_imagen en home no tienen destino) y ya hay 3 fotos de coaches subidas que no se muestran. Crear capa de lectura (usePublicContent) y cablear Home/Nosotros/Programas/CaminoUSA + perfiles/highlights, con RLS para lectura anónima. Movido a Backlog (13 Jul 2026, Marco) — en espera de junta con el equipo de marketing el 20 Jul 2026 antes de retomar. Nota: el git log ya muestra commits relevantes conectando CMS con landing/coaches (402585b, eed1e7d, 1dd1a21) — confirmar con Marco el alcance real pendiente vs. lo ya resuelto al retomar.",High,Backlog,Bug
Fix CMS: cache de imágenes al reemplazar + relabel slot sede en Programas,Dev,,"(1) Fotos de perfil/coach usaban ruta fija en storage → misma URL → navegador servía la imagen vieja al reemplazar. Fix: cache-busting ?v=timestamp en ProfileCard y HighlightPhotoSlot. (2) Slot foto_programa estaba etiquetado 'Foto hero' pero la única imagen de Programas es la sede; renombrado a foto_sede / 'Foto de la sede (canchas)'. Cerrado en apertura de sesión (14 Jul 2026, confirmado por Marco) — el commit pendiente por .git/index.lock se resolvió sin reportarse por texto, confirmado vía git log (commits eed1e7d, 1dd1a21).",Medium,Done,Bug
Scopear sincronización CMS ↔ landing (registro único de slots editables),Dev,,"DECISIÓN (Marco): el CMS se queda en modelo de slots ESTÁTICOS con deploys ad hoc — meter/quitar slots o páginas = cambio de código + deploy (lo hacemos Marco + Claude), NO page-builder dinámico. El scoping del registro único de slots lo vemos juntos después.

Problema raíz: los slots editables se definen en DOS lugares (constantes del panel PanelContenido + llamadas text()/asset() en cada página), que pueden desincronizarse (ya pasó: slots sin destino y labels equivocados). Objetivo del scoping: (a) registro único de slots (src/lib/contentSlots.js) como fuente de verdad que importen tanto el panel como las páginas; el panel genera sus tabs desde ahí. (b) Auditar TODA la landing y registrar cada pieza editable (textos/imágenes/videos hoy hardcodeados) para que exista en el CMS. (c) Flujo: la ESTRUCTURA la edita Marco con Claude (código+deploy); el CONTENIDO ya en prod debe existir en el CMS.",High,Backlog,Feature
Limpieza de datos dummy y usuarios (reset a trio de prueba),Dev,,"Reset de BD: queda Test Athlete (ex-Marco Damán, mailto:mdamian.aguilar@gmail.com) con sus datos, Test Coach/Head Coach (ex-Armando, mailto:tlaca@toptenis.mx) y CMs valerochi + agantoniolar. Borrados: 3 atletas dummy (Emiliano/Ian/Ricardo) + sus rankings/UTR/snapshots, 3 coaches (Jesús/Lalo/Miguel), CM marcotest, y 3 usuarios auth (mailto:marco@toptenispa.mx y dummy huérfanos + marcotest). Landing (9 media_assets) conservada. Ejecutado en transacción.",Medium,Done,Chore
P&M — Rúbrica/skill: objetivos alineados a la filosofía de la academia,Team,Phase 2 — Analytics,"Cerrado 9 Jul 2026 (Session 28). Opción 2 (pasada de validación aparte, modo validate en generate-quarterly-plan, pm-v4.0-2026-07-09 v16) implementada y validada: 0/20 objetivos inventados o calcados pasaron incorrectamente como 'suficiente' en la regresión de los 5 casos sintéticos (vs. 48% y 89% de misses con la opción 1 self-eval). UI conectada en PlanesCoach.jsx: aviso condicional por FocoCard usando el veredicto de validate, se retiró la caja fija RubricaBox. Lint + tests pasan. Commit b441eaa. Detalle completo en docs/http://scope-rubrica-objetivos.md §11-§12.",High,Done,Feature
P&M — Definir observaciones/objetivos de dimensiones numéricas (physical) + doc de scoping,Team,Phase 2 — Analytics,"Reconfirmado en live test 3: physical (beep_test, spider_drill, sprint_20m, salto_vertical, fuerza_inferior, fuerza_superior, fms) no tiene catálogo de baselines/targets/unidades, así que sus objetivos quedan cualitativos mientras técnica/táctica/carácter ya son medibles. Ya estaba señalado como fuera de alcance en §11 del scope doc; este task es para scopearlo formalmente con su propio doc antes de construir. Ref docs/http://scope-planning-measurement.md §16.",Medium,Backlog,Feature
P&M — Rúbrica/skill: verificación de observaciones por dimensión,Team,Phase 2 — Analytics,"Hueco compañero del anterior: la observación del coach a veces ya trae la solución implícita en vez de describir el síntoma/causa observable, lo que deja al LLM sin material real para prescribir (mismo ejemplo de transferencia_partido). Contraste bueno: 'juega con mucha energía y confianza en su derecha en entrenamiento, pero en partidos pierde esa energía y solo pasa la bola sin proponer' — sí trae algo concreto y accionable. Se necesita rúbrica/skill para verificar que cada dimensión identificada traiga algo concreto para trabajar, no solo la etiqueta del síntoma. Doc de scoping propio. Ref docs/http://scope-planning-measurement.md §16.

Actualización (live test 4, Caso Emilio, 1 Jul 2026): agregar convención de TONO a la rúbrica — el dump del coach a veces frasea observaciones como crítica directa a la persona y usa el nombre del atleta. La rúbrica debe incluir cómo escribir constructivamente (conducta observable, no juicio de carácter) y evitar nombrar al atleta. Ya hay un fix parcial del lado de generación (pm-v2.4), pero la convención de cómo el coach redacta la observación en primer lugar sigue pendiente de definir. Ref §17.

Actualización (live test 5, Caso Sofía, 1 Jul 2026): el guardrail actual (dump_quality vago/detallado a nivel de dump completo) NO se disparó pese a observaciones sin mecánica ni dirección de mejora. Falta granularidad por dimensión + una vía de intervención cuando la observación es ambigua. Ref §18.

Actualización (live test 7, Caso Kevin, 1 Jul 2026): el read_corto que resume cada sub-dimensión en el paso de identify puede perder parte del mensaje en observaciones compuestas. Ejemplo: obs original 'no ajusta el plan cuando el rival le cambia el ritmo del partido — sigue con el mismo patrón aunque no le esté funcionando' quedó truncada en read_corto a solo la primera cláusula, perdiendo 'sigue con el mismo patrón…'. generate sí recuperó el texto completo porque vuelve a leer el dump entero. La rúbrica debe ponerle un piso al read_corto para que no pierda cláusulas relevantes de una observación compuesta. Ref §20.

Actualización (revisión de scope, 2 Jul 2026, §21): estructura preliminar de Marco para una observación bien formada — 5 componentes: (1) Dimensión clara, (2) Enfoque/patrón/mecanismo (nombre pendiente), (3) Intensidad, (4) Context clarifier, (5) Adicional opcional. Ref §21.

Actualización (4 Jul 2026): doc de scoping completo en docs/http://scope-rubrica-observaciones.md — anatomía de 5 componentes (nombre propuesto para el componente 2: 'Mecanismo', pendiente de confirmar), regla de granularidad por dimensión (no por dump completo), guardrail no-bloqueante, convención de tono, piso de cobertura para read_corto, regla de fusión para dimensiones repetidas, ubicación como skill modular en el pipeline (per agentic-fit-check-pm §5.1), y tabla de validación contra los 5 casos sintéticos. Listo para revisión de Marco antes de mover a build.",High,Done,Feature
P&M — Fix: diagnóstico/objetivo nunca usan nombre del atleta ni tono crítico,Dev,Phase 2 — Analytics,"Encontrado en live test 4 (Caso Emilio): el dump nombraba al atleta y fraseaba una observación como juicio directo ('Emilio no tiene término medio'), con riesgo de que el diagnóstico generado heredara ese tono al discutirse con el atleta. Fix (pm-v2.4): regla nueva en GENERATE_SYSTEM — nunca usar el nombre del atleta en diagnóstico/objetivo, traducir crítica directa a conducta observable sin inventar. Desplegado v8. Relacionado con el task de rúbrica/skill de verificación de observaciones (convención de tono pendiente del lado del coach). Ref docs/http://scope-planning-measurement.md §17.",High,Done,Bug
P&M — Fix: no re-identificar focos si el dump no cambió,Dev,Phase 2 — Analytics,"Encontrado en live test 3 (Caso Mariana): volver al paso 2 sin editar el dump forzaba una nueva llamada a identify, perdiendo/reordenando la selección de focos ya revisada. Fix: se cachea el texto del dump identificado (lastIdentifiedObs); si coincide, navega directo al paso 3 sin llamar al modelo. Ref docs/http://scope-planning-measurement.md §16.",Medium,Done,Bug
P&M — Fix: identify no depende de enumeración explícita en el dump,Dev,Phase 2 — Analytics,"Encontrado en live test 4 (Caso Emilio, narrow): con el dump enumerado ('Uno:'/'Dos:') identify detectaba las 2 sub-dimensiones bien; sin los marcadores, solo detectaba una (perdía manejo_riesgo). Fix (pm-v2.4): regla explícita en IDENTIFY_SYSTEM de leer por contenido, no por marcadores de estructura. Caso de regresión agregado como Caso 2b en docs/http://dumps-test-planning-edge-cases.md. Desplegado v8. Ref docs/http://scope-planning-measurement.md §17.",High,Done,Bug
"Fix: diagnóstico/objetivo no debe abrir con ""la atleta/el atleta""",Dev,Phase 2 — Analytics,"Encontrado en live test 5 (Caso Sofía, 1 Jul 2026): el diagnóstico generado abre con ""la atleta presenta..."" en vez de ir directo a la conducta observada (""presenta una fuerza inferior que podría ser más completa...""). Ajustar GENERATE_SYSTEM (regla de tono, junto al fix de nombre del atleta) para prohibir abrir con el sustantivo del atleta. Ref docs/http://scope-planning-measurement.md §18.",Medium,Backlog,Bug
"Feature (backlog, sin scope): ""Acciones"" — pasos concretos post-objetivo",Team,Phase 2 — Analytics,"Idea de Marco (1 Jul 2026): después de confirmar objetivo + anclas de un foco, generar ""acciones"" — qué debe hacer el atleta concretamente para cumplir el objetivo. Sin scope todavía, prioridad baja. Ref docs/http://scope-planning-measurement.md §18.

Actualización (live test 6, Caso Diego, 1 Jul 2026): evidencia de por qué hace falta — el objetivo generado para fuerza de piernas ('Desarrollar la fuerza en las piernas mediante ejercicios específicos de resistencia y potencia') se lee más como una acción que como el objetivo medible en sí. El redesign necesita distinguir con claridad objetivo (qué se mide, -2..+2) vs. acciones (cómo se llega ahí). Ref §19.",Low,Backlog,Feature
Bug: AMTP Rankings Scraper falla en GH Actions (exit code 1),Dev,Phase 2 — Analytics,"Primera corrida programada (1 Jul 2026, run #1) del cron mensual falló: job completo en ~8s, step ""Run scraper"" terminó con exit code 1. Hay también una anotación de ""Node.js 20 is deprecated"" (actions/checkout@v4, actions/setup-python@v5 forzados a Node 24) pero es un warning de plataforma no relacionado al fallo — no bloquea el run por sí solo. Causa real sin confirmar: no se pudo leer el log completo (requiere sign-in). Hipótesis por duración corta + código del scraper (scripts/amtp_http://scraper.py): la primera llamada a http://amtp.mx en get_anon_key() no está en try/except y puede estar fallando rápido (403/timeout/cambio de estructura del sitio). Pendiente: Marco revisa el log completo en GitHub (run 28507947517) y lo comparte, o se agrega manejo de errores más claro al script para el próximo run.",Medium,Done,Bug
Fix: carryover incluye planes archivados (falta filtro de status),Dev,Phase 2 — Analytics,"Encontrado en live test 5 (Caso Sofía, 1 Jul 2026): salió 'ética de trabajo' como foco de carryover del periodo anterior sin explicación clara en el dump sintético.

Actualización (live test 6, Caso Diego, 1 Jul 2026): se repite el patrón con 'devolución'.

CONFIRMADO por SQL (live test 7, Caso Kevin, 1 Jul 2026): la query de carryover en handleIdentify (PlanesCoach.jsx) NO filtra por status — solo hace .eq('athlete_id', selAthlete).lt('period_start', periodStart).order('period_start', desc).limit(1). El único atleta real en BD tiene un plan ARCHIVADO (id 2581c5b1…, creado 27 Jun) con focos serve/backhand/devolucion/seleccion_golpe/etica_trabajo — coincide exacto con los dos misterios anteriores. No es un bug de matching ni un artefacto del dump: el carryover toma el plan más reciente por period_start sin importar si está archivado. Cada caso sintético guardado contamina el carryover del siguiente. Fix concreto: agregar .eq('status','active') (o .in(['active','completed'])) a la query. Bug bien entendido, no depende del redesign — candidato a fix inmediato. Ref docs/http://scope-planning-measurement.md §20.",High,Done,Bug
P&M — Evaluar consistencia (determinismo) de identify entre corridas repetidas,Team,Phase 2 — Analytics,"Encontrado en live test 5 (Caso Sofía, 1 Jul 2026): corriendo identify varias veces sobre el mismo dump, el número de focos varió (3→2) y coachabilidad reapareció de forma inconsistente entre corridas. Con temperature 0.3 hay variación esperada, pero conviene medir consistencia como parte del framework de evals (Tier B, docs/http://skills-backlog.md #1) antes de exponer a coaches. Ref §18.",Medium,Backlog,Feature
Bug: focos identificados no persisten al volver (Caso 3),Dev,Phase 2 — Analytics,"Encontrado en live test 5 (Caso Sofía, 1 Jul 2026): en el UI los focos identificados parecieron regenerarse en vez de reusar el cache, pese al fix de re-identificación del mismo día (pm-v2.4, §16). Necesita repro: confirmar si el texto del dump cambió entre pasos, o si el cache (lastIdentifiedObs) se invalida de más al recargar o retomar un draft. Ref §18.",High,Backlog,Bug
"Fix: textarea de observaciones muy chica (paso 2, Nuevo plan)",Dev,Phase 2 — Analytics,"Encontrado en live test 6 (Caso Diego, 1 Jul 2026): la caja de texto donde el coach escribe las observaciones (step 2 del wizard de Nuevo plan, PlanesCoach.jsx) es muy chica para dumps largos. Aumentar rows/min-height. Fix de UI acotado, no depende del redesign. Ref docs/http://scope-planning-measurement.md §19.",Low,Done,Chore
Feature: mostrar qué cambió al regenerar objetivos con feedback del coach,Dev,Phase 2 — Analytics,"Encontrado en live test 6 (Caso Diego, 1 Jul 2026): al mandar 'Regenerar con mi comentario', si el coach se distrae mientras corre la llamada, pierde de vista qué cambio pidió y no hay forma de comparar qué se ajustó. No hace falta mostrar el texto anterior verbatim, pero sí debe quedar claro (antes de cada caja de dimensión, si hubo cambio) qué se hizo de acuerdo al comentario del coach. Necesita diseño, no es trivial. Ref §19.",Medium,Backlog,Feature
Feature: cache de focos generados en revisión (no regenerar todo al cambiar selección),Dev,Phase 2 — Analytics,"Encontrado en live test 7 (Caso Kevin, 1 Jul 2026): si el coach ya generó/revisó objetivos y anclas para varios focos y vuelve al paso 3 a cambiar la selección (quitar uno, agregar otro), el botón 'Generar' vuelve a llamar al modelo para TODOS los focos seleccionados, no solo el que cambió — se pierde lo ya revisado y se reintroduce variabilidad (no determinismo, §18). Esperado: quitar una selección solo la quita de revisión; agregar una nueva selección solo genera esa, sin tocar lo ya generado. Relacionado con el bug de cache de identify de §18 (mismo problema de fondo: el wizard no distingue 'cambió el input' de 'cambió la selección'). Ref §20.",Medium,Backlog,Feature
"Feature: chip ""en buen estado"" para sub-dimensiones que no son candidatas a foco",Dev,Phase 2 — Analytics,"Encontrado en live test 7 (Caso Kevin, 1 Jul 2026): en el paso de selección de focos, UrgenciaChip solo se renderiza cuando candidata_a_foco es true (urgente/a trabajar/menor). Las sub-dimensiones que el coach describe como que van bien no tienen ningún indicador visual — ambiguo entre 'no se detectó' y 'está bien'. Agregar chip verde tipo 'en buen estado' o 'de mantenimiento' para esos casos. Ref §20.",Low,Backlog,Feature
Redesign — política de merge cuando una dimensión se menciona 2+ veces en el dump,Team,Phase 2 — Analytics,"Encontrado en live test 7 (Caso Kevin, 1 Jul 2026): identify devolvió dos entradas separadas de 'liderazgo' (una mencionada al inicio del dump, otra a la mitad). Pregunta abierta: ¿se destilan en una sola entrada (intuición de Marco), o se decide cuál mención tiene mayor impacto en el juego (requeriría su propia rúbrica, overkill por ahora)? Bug técnico asociado: la UI usa focoKey(dimension, sub_dimension) como key de React Y como llave del Set de selección — dos entradas con la misma sub-dimensión colisionan (seleccionar una selecciona ambas visualmente). El fix correcto es que identify nunca devuelva dos entradas para la misma sub-dimensión (mergear en el prompt), no un parche de UI. Ref docs/http://scope-planning-measurement.md §20.",Medium,Backlog,Feature
Agentic system P&M — fit check: ¿agent + skills o pipeline ya scopeado?,Dev,Phase 2 — Analytics,"Antes de scopear las 2 rúbricas/skills en backlog (verificación de observaciones, objetivos alineados a la filosofía) como arquitectura agent+skills, validar si P&M realmente necesita esa estructura o si el pipeline ya scopeado en docs/http://scope-planning-measurement.md (identify → generate → validate advisory → HITL regenerate) ya es suficiente. Contexto: Marco enmarcó el redesign de P&M como POC de un patrón de agentic system generalizable (evaluation loop reusable para cualquier empresa de servicios), no solo como feature de la academia — doble objetivo: resolver el problema real + hacer reps/showcase en agentic systems. No quiere forzar la arquitectura sin fit real. Doc de fit-check: docs/http://agentic-fit-check-pm.md (2 Jul 2026). CERRADO 15 Jul 2026: es un proceso ongoing (fit-check se revisita, no es un entregable único) — se cierra como Done pero no es foco central del proyecto; retomar solo si surge necesidad concreta de scopear una skill/agent.",High,Done,Chore
Fix: AMTP ranking no se muestra en perfil de atleta ni en Equipo,Dev,Phase 2 — Analytics,"Commiteado en 6cd064e. AlumnoDetalle.jsx: setAmtp ya no se salta cuando el atleta no tiene reportes. Equipo.jsx: conectado a amtp_rankings (cards + tabla), mismo patron que Alumnos.jsx. Lint + test (65/65) verdes antes del commit. Pendiente: git push desde terminal de Marco.",Medium,Done,Bug
Formato de cierre compartido para atleta / papá / coach,Dev,Phase 2 — Analytics,"Idea de Marco (2 Jul 2026, docs/http://scope-planning-measurement.md §21): cuando el plan trimestral se cierra (status completed), generar un formato tipo cards o documento presentable que puedan tener el atleta, el papá y el coach. Prioridad baja explícita de Marco ('no importa ahorita') — sin scoping todavía.",Low,Backlog,Feature
Quitar constraint de asignación coach↔atleta (libre para cualquier coach),Dev,Phase 2 — Analytics,"Ampliado 9 Jul 2026 — Marco quiere rediseñar toda la relación coach↔atleta, no solo quitar el constraint. Alcance confirmado tras revisar código+RLS: (1) Equipo.jsx se queda como la única vista de 'todos los atletas' — coaches ya pueden ver athletes/reports/on_court/character/PTF de cualquiera (RLS coaches_select_all_* ya existen), falta abrir SELECT a todos los coaches en athlete_utr_history, athlete_profile_snapshots, athlete_recruitment_profile, y en quarterly_plans/quarterly_plan_objectives (hoy sin política de lectura entre coaches). (2) Eliminar Alumnos.jsx ('Mis Atletas') por completo — hoy filtra .eq('coach_id', http://user.coach_id); comparte <TabBar> con Equipo.jsx (quitar tab 'Mis'), y NuevoAtleta.jsx navega ahí al cancelar/crear. (3) Cualquier coach puede crear reportes/planes para cualquier atleta — hoy NuevoReporte.jsx, ReportesPorPeriodo.jsx y PlanesCoach.jsx (picker de creación + lista de planes) filtran por .eq('coach_id', http://user.coach_id); AlumnoDetalle.jsx tiene un flag isOwn (http://athlete.coach_id === http://user.coach_id) que oculta '+ Nuevo reporte' y muestra 'Solo lectura' a coaches no asignados — se elimina esa distinción. (4) En el alta (NuevoAtleta.jsx) deja de tener sentido asignar automáticamente coach_id = http://user.coach_id como 'dueño' del atleta. Decisión pendiente con Marco: ¿coach_id en athletes se hace nullable (se quita el ownership por completo) o se conserva solo como metadata de 'quién dio de alta' sin usarse en RLS/UI? Hoy http://athletes.coach_id es NOT NULL en DB y está en el FK de 9 tablas. (5) Fuera de este task, después de todo lo demás: feature de notas de voz/texto que alimenta contexto del atleta — ver task separado 'Servicio de notas de voz/texto por atleta'. Requiere doc de scoping propio (schema + RLS) antes de tocar código, patrón Skill #2 de docs/http://skills-backlog.md.",Medium,Done,Feature
